"recipe_source_id","recipe_name","recipe_link","recipe_image","recipe_batch-id","id","recipe_stars","recipe_rating_cnt","recipe_author","recipe_created","recipe_comment_cnt","recipe_time","serve_cnt","serve_unit","sections","favourites_cnt","ingredient_nutrition_url"
"74097","Palačinky ze zakysané smetany a  dětské krupičky","https://www.toprecepty.cz/recept/74097-palacinky-ze-zakysane-smetany-a-detske-krupicky/","https://static.toprecepty.cz/fotky/recepty/0657/palacinky-z-kysane-smetany-a-detske-krupicky-245842-270-160-exact.jpg","1","2","0,0","(0×)","RubyRom","24. 4. 2023 14:32","1 názor","






        
												35 min
							
							
 (20 min 
 příprava + 15 min 
 tepelná úprava, bez doby odležení těstíčka) 
				
","6","kusů","['Suroviny', 'Na smažení', 'Na dokončení', 'Na ozdobu']","





Přidat do oblíbených (2x)
					","https://www.toprecepty.cz/nutricni-hodnoty/74097"
"74095","Rizoto z pánve s vepřovým masem","https://www.toprecepty.cz/recept/74095-rizoto-z-panve-s-veprovym-masem/","https://static.toprecepty.cz/fotky/recepty/0657/rizoto-z-panve-s-veprovym-masem-245840-270-160-exact.jpg","1","2","5,0","(1×)","RubyRom","24. 4. 2023 13:54","1 názor","






        
												45 min
							
							
 (15 min 
 příprava + 30 min 
 tepelná úprava) 
				
","4","porce","['Suroviny', 'Na posyp']","





Přidat do oblíbených (6x)
					","https://www.toprecepty.cz/nutricni-hodnoty/74095"
"74094","Khoya paratha","https://www.toprecepty.cz/recept/74094-khoya-paratha/","https://static.toprecepty.cz/fotky/recepty/0657/khoya-paratha-245837-270-160-exact.jpg","1","2","0,0","(0×)","Dunys","24. 4. 2023 10:43","1 názor","






        
												60 min
							
							
 (30 min 
 příprava + 30 min 
 tepelná úprava, Bez doby odležení těsta a chladnutí náplně) 
				
","18","kusů","['Suroviny', 'Náplň', 'Těsto']","





Přidat do oblíbených (1x)
					","https://www.toprecepty.cz/nutricni-hodnoty/74094"
"74093","Zeleninové kari s lilkem","https://www.toprecepty.cz/recept/74093-zeleninove-kari-s-lilkem/","https://static.toprecepty.cz/fotky/recepty/0657/zeleninove-kari-s-lilkem-245833-270-160-exact.jpg","1","2","5,0","(1×)","Marie Svarcova","24. 4. 2023 08:59","0 názorů","






        
												30 min
							
							
 (20 min 
 příprava + 10 min 
 tepelná úprava) 
				
","2","porce","['Suroviny']","





Přidat do oblíbených (1x)
					","https://www.toprecepty.cz/nutricni-hodnoty/74093"
"74092","Camembert s klobásou, bramborem a cibulí z mikrovlnné trouby","https://www.toprecepty.cz/recept/74092-camembert-s-klobasou-bramborem-a-cibuli-z-mikrovlnne-trouby/","https://static.toprecepty.cz/fotky/recepty/0657/camembert-s-klobasou-bramborem-a-cibuli-z-mikrovlnne-trouby-245826-270-160-exact.jpg","1","2","5,0","(1×)","Anna Kocikova","23. 4. 2023 18:44","3 názory","






        
												20 min
							
							
 (15 min 
 příprava + 5 min 
 tepelná úprava, Bez doby vaření brambor a klobásy) 
				
","1","porce","['Suroviny']","





Přidat do oblíbených
","https://www.toprecepty.cz/nutricni-hodnoty/74092"
"74091","Domácí koláčky","https://www.toprecepty.cz/recept/74091-domaci-kolacky/","https://static.toprecepty.cz/fotky/recepty/0657/domaci-kolacky-245825-270-160-exact.jpg","1","2","0,0","(0×)","ludmilazvysociny","23. 4. 2023 17:04","1 názor","






        
												80 min
							
							
 (60 min 
 příprava + 20 min 
 tepelná úprava, Bez doby kynutí těsta) 
				
","2","plechy","['Suroviny', 'Těsto', 'Náplň']","





Přidat do oblíbených (8x)
					","https://www.toprecepty.cz/nutricni-hodnoty/74091"
"74090","Králičí stehna s rajčaty a fazolemi","https://www.toprecepty.cz/recept/74090-kralici-stehna-s-rajcaty-a-fazolemi/","https://static.toprecepty.cz/fotky/recepty/0657/kralici-stehna-s-rajcaty-a-fazolemi-245822-270-160-exact.jpg","1","2","0,0","(0×)","RubyRom","23. 4. 2023 13:25","2 názory","






        
												140 min
							
							
 (20 min 
 příprava + 120 min 
 tepelná úprava) 
				
","4","porce","['Suroviny']","





Přidat do oblíbených
","https://www.toprecepty.cz/nutricni-hodnoty/74090"
"74089","Housková králičí polévka","https://www.toprecepty.cz/recept/74089-houskova-kralici-polevka/","https://static.toprecepty.cz/fotky/recepty/0657/houskova-klalici-polevka-245821-270-160-exact.jpg","1","2","0,0","(0×)","RubyRom","23. 4. 2023 11:42","4 názory","






        
												90 min
							
							
 (30 min 
 příprava + 60 min 
 tepelná úprava) 
				
","4","porce","['Suroviny']","





Přidat do oblíbených (1x)
					","https://www.toprecepty.cz/nutricni-hodnoty/74089"
"74085","Kobližkové kytičky","https://www.toprecepty.cz/recept/74085-koblizkove-kyticky/","https://static.toprecepty.cz/fotky/recepty/0657/koblizkove-kyticky-245819-270-160-exact.jpg","1","2","0,0","(0×)","Anyzek","23. 4. 2023 08:51","1 názor","






        
												250 min
							
							
 (240 min 
 příprava + 10 min 
 tepelná úprava, včetně doby kynutí) 
				
","1","dávka","['Suroviny']","





Přidat do oblíbených (1x)
					","https://www.toprecepty.cz/nutricni-hodnoty/74085"
"74084","Vepřová panenka s višňovou omáčkou a fazolkami","https://www.toprecepty.cz/recept/74084-veprova-panenka-s-visnovou-omackou-a-fazolkami/","https://static.toprecepty.cz/fotky/recepty/0657/veprova-panenka-s-visnovou-omackou-a-fazolkami-245818-270-160-exact.jpg","1","2","5,0","(1×)","Marie Svarcova","23. 4. 2023 07:45","2 názory","






        
												25 min
							
							
 (10 min 
 příprava + 15 min 
 tepelná úprava) 
				
","3","porce","['Suroviny', 'Fazolky', 'Omáčka']","





Přidat do oblíbených (3x)
					","https://www.toprecepty.cz/nutricni-hodnoty/74084"
