"author","recipe_id","date","text"
"Marie Svarcova","6","5. 4. 2023 21:07","mika59:  moc děkuji, je to pro mne pocta   přeji krásný a pohodový večer"
"mika59","6","5. 4. 2023 21:02","Moc pěkný"
"Marie Svarcova","6","5. 4. 2023 18:38","RubyRom:  moc děkuji  to je inspirace na zelené vaření ve čtvrtek dělávala jsem ho na mítinku Tupp,   přeji krásný zbytek dne"
"RubyRom","6","5. 4. 2023 18:30","Vypadá to nádherně "
"Marie Svarcova","6","5. 4. 2023 15:25","Eja57: moc děkuji i když jsem zvažovala to sem vůbec dát , ty fotky jsou dnes všechny hrozné . jen jsem myslela, že by se třeba hodil někomu recept na zítřejší zelené vaření.  Přeji krásný zbytek dne ."
"Eja57","6","5. 4. 2023 14:36","Roztomilá fotka"
"Marie Svarcova","6","5. 4. 2023 12:10","Eja57:  přesně tak ale může k tomu být i něco jiného hezký den"
"Eja57","6","5. 4. 2023 10:59","Maruško, to kulaté jsou štouchane brambory s cibulkou?"
"Marie Svarcova","6","5. 4. 2023 10:56","Jaromira18:  děkuji za komentář, všechno je s ním moc dobré jen ty fotky jsou hrozné / ale za to spíš mohu já přeji krásný den"
"Jaromira18","6","5. 4. 2023 10:50","Také máme rádi vše kde je medvědí česnek."
"Marie Svarcova","6","5. 4. 2023 07:37"," Pěkný recept - kde jsou ty časy kdy jsem toto dělávala dětem (tedy už vnoučatům) ale ještě to chtěly flambované  "
"tejaja (moderátorka)","6","24. 4. 2023 20:44","Merylas (moderátorka): Maruška, jogurt si dávam robiť vždy cez noc, okolo 17,30- 18 hod ho zapnem a ráno, keď vstanem vyberiem a dám do chladničky. Jogurtovač obsah zohreje a udržiava potrebnú teplotu. V chladničke jogurt ďalej pekne dozrieva. Vždy robím vtedy, keď už mám v chladničke len 1 l jogurtu, aby sa tam dostatočne dlho zdržal ten nový.  A ako píšem, kamarát mi nosí naraz vždy 4 l mlieka z farmy, takže to potom narobím 3-4 litre jogurtu.
Ten urobený premiestnim z nádoby jogurtovača do litrových vedierok z jogurtu, ktoré predávajú v obchode, mám ich 6. Posledný jogurt nechávam v nádobe do jogurtovača.
A ešte tip: v jogurtovači robím nielen jogurt, ale aj acidofilné a kefírové mlieko, aj skyr."
"Merylas (moderátorka)","6","6. 4. 2023 13:08","tejaja (moderátorka): Mám podobný jogurtovač o objemu 1,5 l, s termostatem a po nastaveném čase sám vypne. To už asi vypínají všechny, jen ta možnost nastavení teploty běžná není. Dělávám i z trvanlivého mléka, ohřívám na cca 40-45 °C (používám teploměr) a vmíchám jogurt. Jak dlouho jogurt děláš, když dáváš vše z chladničky? To jsem nikdy nezkoušela, dávat studené. Všude jsem četla, že se má mléko ohřát. A čerstvé převařit a nechat zchladnout na těch 40-45 °C. Tak by mě to zajímalo. "
"tejaja (moderátorka)","6","6. 4. 2023 12:32","zdenka.s: Tak to sme na tom rovnako.😄 Jogurt mam kazdy den na ranajky, pretp som ho aj dostala. Mam jogurtovac Ariete art 621 a nadam nan dopustit. Musite si ale v obchode najst dobry jogurt, ktory obsahuje dobru jogurtovu kulturu. Nebudete lutovat. Mam niekedy v chladnicke aj 5 l jogurtu, to ked mi kamarat donesie mlieko z farmy. 🤩"
