"author","recipe_id","date","text"
"Marie Svarcova","8","2. 4. 2023 13:36","RubyRom:  moc děkuji za komentář a přeji krásný zbytek neděle "
"RubyRom","8","2. 4. 2023 13:03","Skvělé jídlo, sumeček africký je výborná ryba. Libí se mi recept a taky ten salát mám moc ráda."
"Marie Svarcova","8","29. 3. 2023 15:10","Jaromira18:  Děkuji za komentář . to není sumec ale sumeček africký, běžně prodávají chlazeného v Lidlu, Albertu a ostatních marketech , je moc dobrý, žádné kosti a skvělý i pro děti ,jukni na ostatní recepty.  Ale i kapra a jiné rybky máme rádi Měj se moc krásně"
"Jaromira18","8","29. 3. 2023 15:04","Moc se mi to líbí, ale místo sumce musím použít kapra. Doufám, že to bude také tak dobré. Sumce se nedaří manželovi chytit."
"Jaromira18","8","29. 3. 2023 15:07","Moc se mi to líbí, kde je tymián, tak je to dobrůtka."
"RubyRom","8","29. 3. 2023 10:08","Marie Svarcova: Děkuji "
"Marie Svarcova","8","29. 3. 2023 09:11"," výborné "
"Marie Svarcova","8","29. 3. 2023 15:23","cathleen (moderátorka):  moc děkuji za milý komentář, má to mnoho variant s různým masem nebo uzeninou a máme to rádi všichni tak pěkně husté ne jako polévka. Když jsem nevěděla co honem uvařit vždy chtěli všichni bramborový guláš.  Měj se moc krásně "
"cathleen (moderátorka)","8","29. 3. 2023 15:18","Už jen při pohledu na složení surovin to vypadá na velikou dobrotu  Opavdu moc pěkný recept! "
"Marie Svarcova","8","28. 3. 2023 11:16","Eja57:  OK  určitě dobré - klidně bych si dala  Také přeji hezký den"
"Eja57","8","28. 3. 2023 10:27","Marie Svarcova: když zbyde br guláš a zelí tak je to takové ze zbytků, ale nám to chutná. Hezký den"
"Marie Svarcova","8","28. 3. 2023 10:04","Eja57:  děkuji za komentář, se zelím neznám ale zkusím, určitě mi bude také chutnat jelikož mám ráda i zelnačky Měj se moc hezky "
"Eja57","8","28. 3. 2023 09:50","Moc hezké já taky dávám do br guláše kdeco, s oblibou kysané zelí"
"Moanka","8","28. 3. 2023 12:41","Zkusím ji, líbí se mi… 😋👌"
"Marie Svarcova","8","27. 3. 2023 19:14",""
