"author","recipe_id","date","text"
"RubyRom","11","15. 3. 2023 20:34","Anna Kocikova: Moc děkuji "
"Anna Kocikova","11","15. 3. 2023 19:50","RubyRom: Z dobrých surovin moc velká dobrota,mňam"
"RubyRom","11","13. 3. 2023 13:08","Marie Svarcova:  to jo, děkuji "
"Marie Svarcova","11","13. 3. 2023 09:11"," Krakonoš by se u vás měl moc dobře "
"RubyRom","11","13. 3. 2023 09:14","Marie Svarcova: děkjji"
"Marie Svarcova","11","13. 3. 2023 09:12"," na sladké moc nejsem ale bodík zasloužíš. "
"Marie Svarcova","11","12. 3. 2023 14:59","RubyRom: Děkuji, nevěděla jsem co upéct pro syna tak jsem udělala z toho co bylo v lednici a byl spokojený (já to nemusím ale on to má rád ) "
"RubyRom","11","12. 3. 2023 14:41","Přesně podle mého gusta, tohle miluju! "
"RubyRom","11","12. 3. 2023 14:40","Eja57:  recept jsem opravila"
"RubyRom","11","12. 3. 2023 14:30","cathleen (moderátorka): Dobře doplním. "
"cathleen (moderátorka)","11","12. 3. 2023 13:58","RubyRom: přimlouvám se za alespoň přibližný odhad množství surovin i u tohoto salátu. Snažíme se všechny recepty ladit do takové formy, aby jídlo podle nich připravili i začátečníci.
Pokud sem dáš k surovinám aspoň přibližnou hmotnost (či její rozpětí, které bys doporučovala), bude recept zas o kus lepší. Nehledě na to, takto to vlastně ani recept není, jen doporučení, které suroviny k sobě poskládat. 
Ani kalorické tabulky, které máme u každého receptu, si s tím neporadí. 
Díky!"
"RubyRom","11","12. 3. 2023 10:27","Marie Svarcova: No je to zbytečný a salát nepotřebuje přesnou gramáž, je jedno kolik čeho dáš, je to jen na fantazii a chuti. Myslím, že tak je to i u chlebíčků"
"Eja57","11","12. 3. 2023 10:06","Marie Svarcova: taky se mi líbí, ale aspoň přibližně kolik čeho by bylo fajn"
"Marie Svarcova","11","12. 3. 2023 09:12"," salátek se mi líbí  (jen je mi divné, že po mně chce moderátorka přesnou gramáž i u šunky na chlebíčky)"
"Marie Svarcova","11","12. 3. 2023 09:13"," starý a dobrý recept je prima připomenout "
"marie1963","11","20. 4. 2023 19:27","Konkrétně mám tyto filety: www.familymarket.cz/morska-stika-v-jemnem-obalu-detail"
"marie1963","11","20. 4. 2023 19:26","Dobrý den, Lenko, myslíte, že to půjde udělat s filety? Kdybych to plnila mezi dva filety? Mám nějaké na mrazáku a přemýšlím co nima."
"Marie Svarcova","11","12. 3. 2023 09:15",""
"Marie Svarcova","11","14. 3. 2023 22:58","Anna Kocikova:  děkuji, máme ji rádi, dá se koupit ale dá se jednoduše udělat  Měj se krásně"
"Anna Kocikova","11","14. 3. 2023 22:04","Hezké foto zajímavého receptuZaujala mě ta omáčka"
"RubyRom","11","14. 3. 2023 23:55","Anna Kocikova: děkuji"
"Anna Kocikova","11","14. 3. 2023 22:01","Moc hezky připraveno"
"RubyRom","11","12. 3. 2023 10:25","mika59: moc děkuji "
"mika59","11","11. 3. 2023 18:40","Moc pěkná fotka"
"RubyRom","11","11. 3. 2023 13:26","cathleen (moderátorka): Určitě ano. "
"cathleen (moderátorka)","11","11. 3. 2023 12:28","Pomazánky máme doma moc rádi. Tuhle neznám, ale jak se dívám na suroviny, určitě by nám chutnala. Myslíš, žech místo kaparů mohla dát nasekanou kyselou okurku, ať nemusím kapary kupovat?"
"Marie Svarcova","11","11. 3. 2023 10:50"," líbí se mi "
"tejaja","11","11. 3. 2023 19:28","PanMatous: Veľmi pekne ďakujem."
"PanMatous","11","11. 3. 2023 18:18","Děkuji za recept. Moc jsme si pochutnali."
"Anna Kocikova","11","14. 3. 2023 22:47","Marie Svarcova: Maruško,jsem ráda že se ti recept líbíDěkuji za komentář"
"Marie Svarcova","11","11. 3. 2023 10:52"," Paráda - moc pěkně jsi navařila "
"Marie Svarcova","11","10. 3. 2023 20:20","Moanka:  Moc děkuji za milý komentář a také přeji krásný vikend "
"Moanka","11","10. 3. 2023 20:13","To vypadá i zní moc dobře.  Vyzkoušíme…  Hezký víkend přeji… "
"Marie Svarcova","11","10. 3. 2023 17:52","RubyRom: děkuji, byla jsem překvapená jak je to dobré  krásný zbytek dne"
"RubyRom","11","10. 3. 2023 17:11","Skvělé "
"Marie Svarcova","11","10. 3. 2023 14:49","Eja57:  děkuji krásný den"
"Eja57","11","10. 3. 2023 14:40","Hezké"
"Marie Svarcova","11","9. 3. 2023 21:33",""
"Marie Svarcova","11","9. 3. 2023 21:45","Anna Kocikova:  Moc děkuji  měj se skvěle"
"Anna Kocikova","11","9. 3. 2023 21:44","Krásně připraveno"
"Anna Kocikova","11","9. 3. 2023 22:08","Jaromira18: Děkuji JaruškoVětšinou peču jablečnou roládu podle tejaji,před tím jsem ji vůbec neznalaTady mě zlákalo vyzkoušet trošku jiné těsto"
"Anna Kocikova","11","9. 3. 2023 22:00","Marie Svarcova: Maruško,děkuji"
"Jaromira18","11","9. 3. 2023 21:00","Musí být moc dobrá, také jí peču podobnou."
"Marie Svarcova","11","9. 3. 2023 09:03"," recept i foto se mi líbí "
"mika59","11","9. 3. 2023 11:12","Bezva recept "
"Marie Svarcova","11","9. 3. 2023 09:05"," líbí se mi "
"Marie Svarcova","11","9. 3. 2023 09:07"," zajímavý recept"
"Marie Svarcova","11","8. 3. 2023 21:36","cathleen (moderátorka):  Moc děkuji za milý komentář od tak skvělé kuchařky.  Přeji krásný večer"
"cathleen (moderátorka)","11","8. 3. 2023 21:33","Recepty po našich maminkách jsou často ty nejlepší  i tenhle moučník vypadá velice dobře!"
"Marie Svarcova","11","8. 3. 2023 14:20","RubyRom:  děkuji za komentář, znám to léta, ale myslela jsem že už tu dávno je . Šťavnatý koláček moc dobrý  Krásný den"
"RubyRom","11","8. 3. 2023 14:15","Skvělý moučník "
"Anna Kocikova","11","9. 3. 2023 21:41","Manžel je mlsoun a na sladké jako divýJá bych si pochutnala i na té slané variantěMoc hezký recept"
"Jaromira18","11","8. 3. 2023 21:14","Moc děkuji."
"Marie Svarcova","11","8. 3. 2023 09:06"," moc se mi líbí "
