"step_link","recipe_id","name","order"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link item-icon item-icon--sm"" href=""/tipy-triky/jak-rychle-oloupat-cibuli-jednoduchy-navod/"">
<span class=""icon-svg icon-svg--arrow-right"">
<svg class=""icon-svg__svg"">
<use height=""100%"" width=""100%"" x=""0"" xlink:href=""https://www.toprecepty.cz/design21/dist/img/icons.svg?v=5&amp;version=#icon-arrow-right"" y=""0""></use>
</svg>
</span>
        
											Jak rychle oloupat cibuli

		</a>
</p>","10","



					Cibuli, česnek a bramboru oloupeme. 
Cibule nakrájíme na tenké půlměsíčky, česnek na tenké plátky a bramboru protlačíme kulatým kráječem na zeleninu.
				








        
											Jak rychle oloupat cibuli

		

","1"
"","10","



					Sýr nastrouháme na hrubých slzách. 
Vejce rozšleháme se smetanou a špetkou soli.
				

","2"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link item-icon item-icon--sm"" href=""/tipy-triky/smazena-cibule/"">
<span class=""icon-svg icon-svg--arrow-right"">
<svg class=""icon-svg__svg"">
<use height=""100%"" width=""100%"" x=""0"" xlink:href=""https://www.toprecepty.cz/design21/dist/img/icons.svg?v=5&amp;version=#icon-arrow-right"" y=""0""></use>
</svg>
</span>
        
											Poradíme, jak restovat cibuli

		</a>
</p>","10","



					Do pánve s rozehřátým sádlem dáme cibuli a restujeme 10 minut do zavadnutí.
3 minuty před koncem přidáme česnek, pepř a sůl, promícháme a doděláme.
				








        
											Poradíme, jak restovat cibuli

		

","3"
"","10","



					Přidáme bramboru, necháme ji prohřát a přilijeme rozšlehaná vejce. 
Promícháme a necháme malinko srazit.
				

","4"
"","10","



					Opět promícháme, posypeme sýrem a přiklopíme pokličkou. Necháme na slabém plameni 3 minuty, než se sýr rozpustí.
				

","5"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link"" href=""/tipy-triky/jak-uchovat-bylinky-v-lednici/"" style=""text-decoration: none;"">
<span class=""b-tip__tag tag"">TIP</span> <span style=""text-decoration: underline;"">					Jak uchovat bylinky co jak nejdéle
</span>
</a>
</p>","10","



					Na talíři posypeme zelenou bylinkou nebo natí a pokapeme chilli omáčkou.
				



TIP 					Jak uchovat bylinky co jak nejdéle



","6"
"","10","



					Troubu předehřejeme na 200 °C.
				

","1"
"","10","



					Na plech položíme alobal a do něj vložíme všechen česnek rozebraný na měsíčky a zakápneme 1 lžící olivového oleje. Alobal zabalíme a vložíme do trouby. Pečeme 25 minut, nebo dokud česnek nezměkne.
				

","2"
"","10","



					Mezitím v malé misce smícháme libeček, koriandr, tymián, rozmarýn, sůl a pepř.
				

","3"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link item-icon item-icon--sm"" href=""/tipy-triky/jak-odblanit-maso/"">
<span class=""icon-svg icon-svg--arrow-right"">
<svg class=""icon-svg__svg"">
<use height=""100%"" width=""100%"" x=""0"" xlink:href=""https://www.toprecepty.cz/design21/dist/img/icons.svg?v=5&amp;version=#icon-arrow-right"" y=""0""></use>
</svg>
</span>
        
											Videonávod: Postup odblanění masa

		</a>
</p>","10","



					Panenku opláchneme, usušíme a ve větší míse obalíme ve směsi koření.
				








        
											Videonávod: Postup odblanění masa

		

","4"
"","10","



					Na pánvi na mírném plameni rozehřejeme 1 lžíci olivového oleje. Na pánev dáme panenku a opékáme ji ze všech stran, dokud nezíská hnědozlatou barvu.
				

","5"
"","10","



					Poté panenku dáme do pekáče a přidáme k ní upečený česnek (ten vyndáme z alobalu). A zalijeme to celé vodou. Pečeme na 200 °C cca 10-15 min.
				

","6"
"","10","



					Panenku vyndáme a pokud vypadá jako na obrázku, tak můžeme podávat. Pokud ne, panenku dáme ještě na chvíli péct. Výsledkem je křehká panenka
				

","7"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link"" href=""/tipy-triky/jak-pripravit-panenku-oblibeny-recept/"" style=""text-decoration: none;"">
<span class=""b-tip__tag tag"">TIP</span> <span style=""text-decoration: underline;"">					Vepřová panenka - tipy, rady, recepty
</span>
</a>
</p>","10","



					Vhodnou přílohou jsou brambory.
				



TIP 					Vepřová panenka - tipy, rady, recepty



","8"
"","10","



					Mraženou rybu necháme pomalu v lednici rozmrazit, osušíme papírovými utěrkami, nakrájíme, osolíme a opepříme.
				

","1"
"","10","



					Nejprve z mouky a vejce uděláme husté těstíčko, dobře rozmícháme aby nebyly žmolky a poté teprve naředíme smetanou na konzistenci vhodnou na obalení ryby.
				

","2"
