"step_link","recipe_id","name","order"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link item-icon item-icon--sm"" href=""/tipy-triky/jak-varit-cocku/"">
<span class=""icon-svg icon-svg--arrow-right"">
<svg class=""icon-svg__svg"">
<use height=""100%"" width=""100%"" x=""0"" xlink:href=""https://www.toprecepty.cz/design21/dist/img/icons.svg?v=5&amp;version=#icon-arrow-right"" y=""0""></use>
</svg>
</span>
        
											Jak správně uvařit čočku

		</a>
</p>","12","



					Čočku propláchneme a uvaříme podle návodu doměkka, ale nesmí být rozvařená. Do ještě horké vmícháme lístky špenátu a Harissu.
				








        
											Jak správně uvařit čočku

		

","1"
"","12","



					Cibuli nakrájíme najemno a na oleji necháme zesklovatět a změknout.
				

","2"
"","12","



					Připravenou čočku a cibuli opatrně promícháme, osolíme a dochutíme vinným octem.
				

","3"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link item-icon item-icon--sm"" href=""/tipy-triky/jak-odblanit-maso/"">
<span class=""icon-svg icon-svg--arrow-right"">
<svg class=""icon-svg__svg"">
<use height=""100%"" width=""100%"" x=""0"" xlink:href=""https://www.toprecepty.cz/design21/dist/img/icons.svg?v=5&amp;version=#icon-arrow-right"" y=""0""></use>
</svg>
</span>
        
											Videonávod - jak odblanit maso

		</a>
</p>","12","



					Maso očistíme od případných blan, osušíme papírovou utěrkou, mírně osolíme, opepříme a potřeme olejem.  
Necháme odpočinout a zatím připravíme zeleninu.
				








        
											Videonávod - jak odblanit maso

		

","1"
"","12","



					Zelenou část z opláchnutých a okapaných listů pak choi nakrájíme do misky na proužky. (Oddělenou bílou část listů odložíme zcela bokem a necháme na později do jakéhokoliv salátu.) Pórek nakrájíme na kolečka a přidáme do misky.
				

","2"
"","12","



					Zeleninu v misce spaříme vroucí vodou, slijeme, pak propláchneme studenou vodou a vymačkáme rukou nebo v salátové odstředivce. 
Přidáme česnek, mírně osolíme a opepříme.
				

","3"
"","12","



					Zapneme troubu na 200 °C a rošt dáme do horní části.
				

","4"
"","12","



					Panenku zprudka opečeme na rozpálené pánvi ze všech stran.
				

","5"
"","12","



					Na listové těsto rozprostřeme asi 1 cm od krajů připravenou zeleninu a doprostřed položíme maso. Důkladně zabalíme a koncové okraje zahneme dospodu.
				

","6"
"","12","



					Balíček s panenkou vložíme do pekáčku, potřeme rozšlehaným vejcem a dáme péct cca na 12-15 minut.
				

","7"
"","12","



					Upečený dozlatova ho necháme odpočinout zakrytý alobalem (lesklou stranou ven) a zatím připravíme přílohu.
				

","8"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link"" href=""/tipy-triky/jak-pripravit-panenku-oblibeny-recept/"" style=""text-decoration: none;"">
<span class=""b-tip__tag tag"">TIP</span> <span style=""text-decoration: underline;"">					Jak připravit vepřovou panenku - tipy, rady, recepty
</span>
</a>
</p>","12","



					Panenku podáváme nakrájenou na širší plátky s bramborami a salátem podle chuti.
				



TIP 					Jak připravit vepřovou panenku - tipy, rady, recepty



","9"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link item-icon item-icon--sm"" href=""/tipy-triky/jak-na-nepecene-kulicky/"">
<span class=""icon-svg icon-svg--arrow-right"">
<svg class=""icon-svg__svg"">
<use height=""100%"" width=""100%"" x=""0"" xlink:href=""https://www.toprecepty.cz/design21/dist/img/icons.svg?v=5&amp;version=#icon-arrow-right"" y=""0""></use>
</svg>
</span>
        
											Nepečené kuličky - vychytávky

		</a>
</p>","12","



					Všechny ingredience smícháme do kompaktního těsta, ze kterého tvarujeme kuličky.
				








        
											Nepečené kuličky - vychytávky

		

","1"
"","12","



					Uchováváme v lednici. 
V uzavřené dóze vydrží 5-7 dní.
				

","2"
"","12","



					Všechny ingredience na těsto smícháme dohromady.
				

","1"
