"author","recipe_id","date","text"
"Anna Kocikova","10","20. 3. 2023 20:41","Eja57: Marie Svarcova: Děvčata,moc vám děkujiMy jsme hodně""cibuloví""Ale větší množství zakoupené cibule v paneláku brzo vyrůstá tak se snažím o co největší využití"
"Eja57","10","18. 3. 2023 09:44","Mi by také chutnala, moc hezké"
"Marie Svarcova","10","17. 3. 2023 21:47","Dobrý nápad, také by mi chutnala "
"Marie Svarcova","10","19. 3. 2023 09:01","Mmelinda: moc děkuji za milý komentář a přeji krásnou neděli"
"Mmelinda","10","19. 3. 2023 00:02","Joj......jaké krásné.....výborná inspirace....díky,díky"
"Marie Svarcova","10","17. 3. 2023 21:43","Anna Kocikova:  Moc děkuji a přeji krásný večer "
"Anna Kocikova","10","17. 3. 2023 21:23","Jídlo na talíři vypadá velice hezky
Také do těstíčka na obalování přidávám solamyl,po usmažení je to hezky křupavéLíbí se mi vychytávka ze špejlí na zkoušku rozpáleného oleje"
"Anna Kocikova","10","17. 3. 2023 21:25","Marie Svarcova: RubyRom: Děvčata děkujiVaše komentáře mi udělaly velkou radost
Máme rádi vepřové kostky s mrkví a hráškem,tak taková změna,aby byl na talíři zase jiný tvar"
"Marie Svarcova","10","17. 3. 2023 08:51"," Moc se mi líbí recept i prezentace "
"RubyRom","10","16. 3. 2023 23:23","Skvěle jsi navařila, krásné to je a určitě moc dobré."
"Marie Svarcova","10","17. 3. 2023 08:54"," zajímavý salát, ráda zkouším cizí kuchyně, díky za recept "
"pavllla","10","19. 3. 2023 23:25","Eja57: Sice nejsem autorka, ale koření na sýry a tvaroh je mé oblíbené (Koření od Antonína v Plzni), složení: kopr, petržel, bazalka, hořčice, česnek, paprika, kurkuma, koriandr, pískavice, chilli, cibule, mořská sůl (15%)."
"Eja57","10","17. 3. 2023 10:53","Moc hezké a bude to moc dobre. Jaké je prosím to koření? Neznám."
"Marie Svarcova","10","16. 3. 2023 20:11","rozmarynaH: děkuji za komentář, je zajímavé, že nikdy o ní neslyšella. svět je malý a stále je co se učit , já jsem ji prostě zkusila udělat jinak než běžnou červenou,  Přeji krásný večer"
"rozmarynaH","10","16. 3. 2023 20:03","Tuhle polévku vařím mnoho roků, je výborná: https://www.varimesmarcelou.cz/polevky/polevka-z-r..."
"Marie Svarcova","10","16. 3. 2023 15:19","Eja57:  Děkuji za komentář . je to stejné jako s krupičkou, ze zimního zelí je to také dobré ani není moc poznat rozdíl.  Krásný den"
"Eja57","10","16. 3. 2023 15:10","By mi chutnalo, počkám na mladé zelí. To vajíčko s hrubou moukou funguje jako 
s krupičkou? Tohle neznám.
"
"Anna Kocikova","10","16. 3. 2023 20:12","Marie Svarcova: Maruško také děkujiZmrzlina je příjemně navinulá.Tentokrát byly jahody z Kauflandu,tak jsem musela trošku přisladit"
"Marie Svarcova","10","16. 3. 2023 08:52"," To vypadá moc hezky (já zmrzlinu vůbec nejím ale dětem zkusím udělat) díky za recept "
"Lenunka","10","16. 3. 2023 17:57","Marie Svarcova: Eja57: děkuji moc "
"Eja57","10","16. 3. 2023 09:03"," jako od tebe vždycky"
"Marie Svarcova","10","16. 3. 2023 08:54"," pěkný recept a krásné foto "
"Marie Svarcova","10","16. 3. 2023 09:46","RubyRom:  skvělé  hezký den"
"RubyRom","10","16. 3. 2023 09:42","Marie Svarcova: děkuji, určitě je to dobré koření , dnes jdu na nákup tak se po něm podívám."
"Marie Svarcova","10","16. 3. 2023 08:49","Gabina:  moc děkuji za komentář a přeji krásný den "
"Gabina","10","15. 3. 2023 22:57","Krásná stavicka a knedlíky vypadají taky super 👏"
"Marie Svarcova","10","15. 3. 2023 20:17","Anna Kocikova:  Moc děkuji a opravdu jsem sklidila pochvalu, bylo to dobré Krásný večer"
"Anna Kocikova","10","15. 3. 2023 19:54","Marie Svarcova: Ani já toto koření neznám,ale krásně vypadající jídlo by mi chutnaloŠťáva má moc hezkou barvu"
"Marie Svarcova","10","15. 3. 2023 14:11","RubyRom: Moc děkuji za komentář, lze koupit i udělat směs domácí bez sol. Kořenící směs obsahuje sůl (max. 39 %), papriku, cibuli, koriandr, česnek, černý pepř a tymián. Dávám vše sušené a drcené. Hodí se na pečení masa i zeleniny nebo ke grilování. U stánků s kořením nebo v marketech běžně. Přeji krásný den"
"RubyRom","10","15. 3. 2023 13:06","Vypadá to moc dobře, neznám sice argentinské koření, ale určitě se po něm podívám. "
"Anna Kocikova","10","15. 3. 2023 19:59","Podle použitých surovin to muselo být moc dobréRecept i foto se mi moc líbí"
"janky3","10","15. 3. 2023 18:55","Marie Svarcova, PaCaOl:  Dobrota to je , netušila jsem ani jaká, ale ale měla jsem nic moc vařené brambory, hodně jsem z nich vykrájela, a dvě na zkus vařené brokolice. Jednu jsem si dala s máslem a strouhanou goudou ( také bašta) druhou použila do experimentu s brambory, smaženou cibulí na sádle a anglickou slaninou."
"PaCaOl","10","15. 3. 2023 16:08","To může být dobrota, vyzkouším :o)"
"Marie Svarcova","10","15. 3. 2023 14:12"," určitě moc dobré"
"Anna Kocikova","10","21. 3. 2023 21:16","Nadja: Když byly kuřecí kůže v masně běžně ke koupi,tak jsme si také občas křupavou prasárničku udělali k televiziAle už hodně let není na pultě vidět
Vepřová blána je už také většinou jen na objednávku.Balím do ní i kuřecí roládu(naklepaná prsa,nebo vykostěné čtvrtky).Neumím vykostit celé kuře"
"Nadja","10","21. 3. 2023 14:59","Anna Kocikova: s vepřovou blánou jsem nikdy nepracovala, nikdy jsem ji u řezníka ani neviděla, tak nahrazuji právě tou kůží. Kdysi kuřecí kůže za pakatel prodávali samostatně, potom zmizely a do skeletů na polévku nacpali kůži z celého kuřete. Ráda jsem kupovala samostatné kůže - sádlo z nich jsem vytrhala a vyškvařila a čistou kůži jsem použila na závitky nebo ji vyškvařila dokřupava - to je pochoutka. "
"Anna Kocikova","10","20. 3. 2023 20:59","Nadja: Ahoj Naděnko,jsem ráda,že se ti recept líbíDěkuji za pěkný komentářVětšinou dělávám různé rýžové placičky smažené na pánvičce na sporáku www.toprecepty.cz/recept/20560-ryzove-placicky-co-lednice-dala/
Chtěla jsem vyzkoušet i jiný tvar a bála jsem se,že by se byť slaninou obalené válečky na pánvičce roztekly. Z HF byly moc dobré
Do kuřecích kůžiček(pokud mi dojde vep.blána) balím takové mimiroládky z vepřových jater.Je to hrozná piplačka ale s chutným výsledkem"
"Nadja","10","19. 3. 2023 15:47"," Ahoj Drahuško, jsem ráda, že Tě vidím, že jsi tudíž OK.
 Receptík jako vždy moc pěkný, že se sliny sbíhají. Dělávám občas něco vzdáleně podobného, jen balím do kuřecích kůží a peču v troubě, ale v těch plátcích boku to bude zajímavější."
"Anna Kocikova","10","15. 3. 2023 20:13","Jaromira18: Jé,Jaruško,tak teď jsme se tady ťuklyJsem ráda,že se ti recept líbí,děkuji tiFritézu mám na 3,5 litů a to je akorát pro dva.A je fajn,že má menší spotřebu,než klasická se sporákem"
"Anna Kocikova","10","15. 3. 2023 20:06","Marie Svarcova:Maruško děkujiUrčitě to půjde i v obyčejné troubě.Ale bylo toho jen 5 kousků a na to by se nevyplatila rozehřívat velká trouba.
Děvčata,vaše komentáře mi udělaly radost,děkuji"
"Jaromira18","10","15. 3. 2023 20:05","Fritézu používám moc ráda, tak nám brzy tu dobrůtku udělám."
"RubyRom","10","15. 3. 2023 13:03","Zajímavý recept a vypadá to moc pěkně a žravě "
"Veronika.Hrozna","10","15. 3. 2023 12:32","Marie Svarcova: soupnout do trouby, by to taky slo, ne!"
"mika59","10","15. 3. 2023 11:04","Pěkný nápad"
"Marie Svarcova","10","14. 3. 2023 22:55"," moc se mi recept i foto líbí ale tu fritézu nemám "
"Marie Svarcova","10","14. 3. 2023 22:52"," určitě výborná, mám ráda drožďové pomazánky a houby také "
"Marie Svarcova","10","14. 3. 2023 22:49",""
"maris","10","15. 3. 2023 10:38","Marie Svarcova: je moc dobrá"
"Marie Svarcova","10","14. 3. 2023 22:48"," také ji máme rádi"
"Marie Svarcova","10","14. 3. 2023 22:59","Anna Kocikova: "
"Anna Kocikova","10","14. 3. 2023 22:49","Marie Svarcova: i Tobě"
"Marie Svarcova","10","14. 3. 2023 22:47","Anna Kocikova:  moc děkuji a přeji krásný zbytek večera "
"Anna Kocikova","10","14. 3. 2023 22:36","Maruško jídlo vypadá velice hezky
Eja57: Kdysi tady bylo mnohým vytýkáno, že předem bodují recept a ještě podle něj neuvařili.Čert aby se v tom vyznal"
"Marie Svarcova","10","14. 3. 2023 16:15","Eja57:  Moc děkuji, potěšilo mě to, a přeji krásný den , mne už to neudivuje"
"Eja57","10","14. 3. 2023 15:51","Moc pěkné
Ale s údivem sleduji, že i kladně ohodnocené recepty nemají žádné hvězdičky, já jsem jich sem tedy 5 dala"
"Marie Svarcova","10","14. 3. 2023 13:23","RubyRom:  mo děkuji, hezký je ten talíř ale máme taková jídla rádi Krásný den"
"Marie Svarcova","10","14. 3. 2023 13:21","misula29:  moc děkuji a budu se těšit na foto  hezký den"
"misula29","10","14. 3. 2023 12:59","Vypadá to moc dobře, někdy určitě vyzkouším."
"RubyRom","10","14. 3. 2023 12:07","Moc hezké "
"Anna Kocikova","10","14. 3. 2023 22:22","Marie Svarcova: RubyRom: Děvčata,děkuji 
Marie Švarcová:Maruško kuřecí játra bylo moje první jídlo,které jsem v 11 letech za asistence babičky úspěšně uvařila do 30 minut v obyčejném hrnciV tom pomalém  jsem to dělala,protože nemůžu stát u sporáku."
"RubyRom","10","14. 3. 2023 11:03","Moc hezké "
"Marie Svarcova","10","14. 3. 2023 09:12"," Recept se mi líbí, sice nemám takový hrnec ale snad tu dobrotu udělám i v obyčejném "
"Anna Kocikova","10","14. 3. 2023 22:13","Lilek nemám,ale chutnalo by mě to i bez nějRecept se mi líbí"
"RubyRom","10","14. 3. 2023 18:27","Eja57: Jasně příště dám zeleniny víc, prostě došla a na nákup mám daleko, ale správná připomínka. "
"Eja57","10","14. 3. 2023 15:46","RubyRom: no ono se to u nás zvrtlo v název ""srbské rizoto"" 
Ale je to moc dobre, ještě bych přidala hrášek nebo fazolky. A podle fotky méně rýže a víc zeleniny.
"
"Marie Svarcova","10","14. 3. 2023 13:27","Marie Svarcova:  a ještě tam napíši hrubku , Po našem fakt dobré "
"RubyRom","10","14. 3. 2023 10:50","Marie Svarcova: No to by se asi na balkáně nelíbilo říkat tomu rizoto, ale jo, po našem je to vlastně rizoto , ale s vepřovým masem se to dělá."
