"recipe_source_id","recipe_name","recipe_link","recipe_image","recipe_batch-id","id","recipe_stars","recipe_rating_cnt","recipe_author","recipe_created","recipe_comment_cnt","recipe_time","serve_cnt","serve_unit","sections","favourites_cnt","ingredient_nutrition_url"
"73960","Topinky se sýrovou pomazánkou a slaninou","https://www.toprecepty.cz/recept/73960-topinky-se-syrovou-pomazankou-a-slaninou/","https://static.toprecepty.cz/fotky/recepty/0652/topinky-se-syrovou-pomazankou-a-slaninou-245276-270-160-exact.jpg","6","7","0,0","(0×)","RubyRom","1. 4. 2023 20:31","5 názorů","






        
												30 min
							
							
 (25 min 
 příprava + 5 min 
 tepelná úprava, bez doby odležení) 
				
","2","porce","['Suroviny', 'Pomazánka', 'Na dohotovení']","





Přidat do oblíbených (8x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73960"
"73959","Bramborák s lilkem","https://www.toprecepty.cz/recept/73959-bramborak-s-lilkem/","https://static.toprecepty.cz/fotky/recepty/0652/bramborak-s-lilkem-245273-270-160-exact.jpg","6","7","0,0","(0×)","Jirina_K","1. 4. 2023 19:39","1 názor","






        
												50 min
							
							
 (30 min 
 příprava + 20 min 
 tepelná úprava) 
				
","2","porce","['Suroviny']","





Přidat do oblíbených (3x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73959"
"73958","Javornický guláš z divokého kance","https://www.toprecepty.cz/recept/73958-javornicky-gulas-z-divokeho-kance/","https://static.toprecepty.cz/fotky/recepty/0652/javornicky-gulas-z-divokeho-kance-245269-270-160-exact.jpg","6","7","0,0","(0×)","Jaromira18","1. 4. 2023 18:50","1 názor","






        
												75 min
							
							
 (15 min 
 příprava + 60 min 
 tepelná úprava) 
				
","3","porce","['Suroviny']","





Přidat do oblíbených (3x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73958"
"73957","Bezlepkový ovocný koláč","https://www.toprecepty.cz/recept/73957-bezlepkovy-ovocny-kolac/","https://static.toprecepty.cz/fotky/recepty/0652/bezlepkovy-ovocny-kolac-245259-270-160-exact.jpg","6","7","5,0","(1×)","srettka","1. 4. 2023 13:48","1 názor","






        
												45 min
							
							
 (15 min 
 příprava + 30 min 
 tepelná úprava) 
				
","8","porcí","['Suroviny', 'Těsto', 'Drobenka', 'Dále']","





Přidat do oblíbených (3x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73957"
"73956","Vepřová panenka s volským okem","https://www.toprecepty.cz/recept/73956-veprova-panenka-s-volskym-okem/","https://static.toprecepty.cz/fotky/recepty/0652/panenka-s-volskym-okem-245257-270-160-exact.jpg","6","7","0,0","(0×)","Lenka Škulinová","1. 4. 2023 13:26","1 názor","






        
												40 min
							
							
 (20 min 
 příprava + 20 min 
 tepelná úprava, plus čas na odležení - cca hodina

tepelná příprava zahrnuje také vaření zeleniny) 
				
","4","porce","['Suroviny']","





Přidat do oblíbených (1x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73956"
"73955","Čočka trochu jinak vařená","https://www.toprecepty.cz/recept/73955-cocka-trochu-jinak-varena/","https://static.toprecepty.cz/fotky/recepty/0651/cocka-trochu-jinak-varena-245235-270-160-exact.jpg","6","7","5,0","(1×)","Marie Svarcova","1. 4. 2023 10:16","4 názory","






        
												40 min
							
							
 (10 min 
 příprava + 30 min 
 tepelná úprava) 
				
","2","porce","['Suroviny']","





Přidat do oblíbených (10x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73955"
"73954","Šimlové koláče","https://www.toprecepty.cz/recept/73954-simlove-kolace/","https://static.toprecepty.cz/fotky/recepty/0652/simlove-kolace-245256-270-160-exact.jpg","6","7","5,0","(2×)","RubyRom","1. 4. 2023 09:45","0 názorů","






        
												55 min
							
							
 (35 min 
 příprava + 20 min 
 tepelná úprava, bez doby kynutí) 
				
","2","kusy","['Suroviny', 'Těsto', 'Dále', 'Náplň', 'Drobenka']","





Přidat do oblíbených (13x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73954"
"73950","Kachna se špenátovou nádivkou","https://www.toprecepty.cz/recept/73950-kachna-se-spenatovou-nadivkou/","https://static.toprecepty.cz/design/img/bg/no-photo-270-160.png","6","7","0,0","(0×)","Autor/ka fotky","31. 3. 2023 11:10","0 názorů","






        
												240 min
							
							
 (30 min 
 příprava + 210 min 
 tepelná úprava, bez doby nasolení) 
				
","4","porce","['Suroviny']","





Přidat do oblíbených
","https://www.toprecepty.cz/nutricni-hodnoty/73950"
"73948","Karlovarský knedlík ve fólii","https://www.toprecepty.cz/recept/73948-karlovarsky-knedlik-ve-folii/","https://static.toprecepty.cz/design/img/bg/no-photo-270-160.png","6","7","0,0","(0×)","Autor/ka fotky","31. 3. 2023 10:46","0 názorů","






        
												70 min
							
							
 (40 min 
 příprava + 30 min 
 tepelná úprava) 
				
","1","kus","['Suroviny']","





Přidat do oblíbených (1x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73948"
"73947","Chlebíčková pomazánka II","https://www.toprecepty.cz/recept/73947-chlebickova-pomazanka-ii/","https://static.toprecepty.cz/fotky/recepty/0657/chlebickova-pomazanka-ii-245810-270-160-exact.jpg","6","7","5,0","(1×)","Anna Kocikova","31. 3. 2023 10:39","1 názor","






        
												10 min
							
							
 (10 min 
 příprava) 
				
","1","dávka","['Suroviny']","





Přidat do oblíbených (2x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73947"
