"author","recipe_id","date","text"
"RubyRom","7","2. 4. 2023 17:42","Moanka: No ochutnejte a podle své chuti dosolte. Přeji hezký večer "
"Moanka","7","2. 4. 2023 17:15","RubyRom: Díky. Já také moc solit nepotřebuju, ale když pak sůl chybí, není to dobré. Tady je to jak píšete, sýr slaný, tatarka ochucená… Dám na Vás. Vy už se vyznáte… 😉 Děkuji… 🌻"
"Marie Svarcova","7","2. 4. 2023 08:36"," paráda "
"RubyRom","7","2. 4. 2023 08:35","Moanka: Sůl jsem nedala, sýr je slaný dost , tatarka ochucená, nebylo třeba solit. Ale je na každém jak to má rád. Já příliš moc nesolím kvůli nemocným ledvinám a manželovu  srdci."
"Moanka","7","2. 4. 2023 06:47","Pěkný recept, hermelín mám moc ráda. 👌 Jen se optám, tady fakt ne sůl? 
Recept ukládám a v nejbližší době připravím k večeři. 👩‍🍳 Mňam. 😋 Děkuji a mějte se krásně… 🍀🌷"
"Marie Svarcova","7","2. 4. 2023 08:34"," neznám ale ochutnala bych, vypadá dobře "
"Marie Svarcova","7","2. 4. 2023 08:31"," gulášek z kančího je skvělý jen nedělám v tlakovém hrnci ale pomalu v troubě, Máš ho moc pěkný "
"Marie Svarcova","7","1. 4. 2023 19:17","recept se mi líbí a foto je krásné "
"Marie Svarcova","7","1. 4. 2023 19:20"," recept se mi líbí, foto pěkně barevné jen je škoda, že není tu panenku moc vidět "
"Marie Svarcova","7","5. 4. 2023 21:47","Gabina:  moc děkuji za komentář i foto, jsem ráda, že chutnala  a přeji krásný zbytek večera i hezkou dobrou noc "
"Gabina","7","5. 4. 2023 21:36","Čočka je moc dobrá, přidala jsem sušený česnek a trochu čerstvého zazvoru"
"Marie Svarcova","7","1. 4. 2023 19:15","Jaromira18:  děkuji, Jaru pokud tohle znáš tak jsem překvapená a pokud ne tak to někdy zkus, já mám ráda čočku ale dělala jsem jen tu zadělávanou nakyselo, saláty nebo různé polévky ale toto je úplně něco jiného. Neskutečně dobré a fakt stojí zato dát si práci a uvařit to přesně podle pokynů.  Měj se moc krásně"
"Jaromira18","7","1. 4. 2023 17:55",""
"Anna Kocikova","7","22. 4. 2023 18:56","Dělala jsem větší množství pomazánky na kterou jsem použila domácí šunku,kterou jsem pomlela na masovém mlýnkuPřidávám foto"
"Marie Svarcova","7","31. 3. 2023 19:10","Jaromira18:  moc děkuji a přeji, aby chutnal   krásný a pohodový večer"
"Jaromira18","7","31. 3. 2023 18:39","Musí být vynikající, ráda ho udělám."
"Marie Svarcova","7","31. 3. 2023 09:33","Eja57:  moc děkuji za milý komentář a přeji krásný slunečný den "
"Eja57","7","31. 3. 2023 09:18","Hezká kombinace, by mi chutnalo, vyzkouším
Hvězdičky letí"
"Jaromira18","7","31. 3. 2023 18:34","Moc děkuji."
"Marie Svarcova","7","31. 3. 2023 08:14"," Moc pěkný recept a krásné foto "
"Anna Kocikova","7","5. 4. 2023 16:45","Simona Skolakova: Simuš děkuji"
"Simona Skolakova","7","31. 3. 2023 23:52","Anna Kocikova: co já bych dala za ten medvědí česnekvůbec by mi nevadil,že není pokrájenýale tady u nás neroste,jedině když je klika tak koupit na trhutak si toho važte,že u vás roste"
