"step_link","recipe_id","name","order"
"","17","



					Řepu nakrájíme na tenké plátky.
				

","1"
"","17","



					Každý plátek potřeme pomazánkovým máslem a přehneme. Obalíme v nasekané pažitce.
				

","2"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link"" href=""/tipy-triky/cervena-repa-v-kuchyni/"" style=""text-decoration: none;"">
<span class=""b-tip__tag tag"">TIP</span> <span style=""text-decoration: underline;"">					Červená řepa v naší kuchyni
</span>
</a>
</p>","17","



					Rohlíky nakrájíme na plátky a opečeme z obou stran na pánvi potřené olejem. Hotové potřeme česnekem.
				



TIP 					Červená řepa v naší kuchyni



","3"
"","17","



					Kořenovou zeleninu nastrouháme.
				

","1"
"","17","



					Očištěné maso nakrájíme na plátky, osolíme, opepříme a v hluboké pánvi na sádle opečeme ze všech stran.
				

","2"
"","17","



					Maso vyndáme stranou a v pánvi restujeme zeleninu, přidáme koření, rajčatovou pastu, špetku cukru, promícháme, vrátíme maso, přidáme rozmarýn a podlijeme vývarem.
				

","3"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link item-icon item-icon--sm"" href=""/tipy-triky/jak-pripravit-jisku-navod-na-pripravu/"">
<span class=""icon-svg icon-svg--arrow-right"">
<svg class=""icon-svg__svg"">
<use height=""100%"" width=""100%"" x=""0"" xlink:href=""https://www.toprecepty.cz/design21/dist/img/icons.svg?v=5&amp;version=#icon-arrow-right"" y=""0""></use>
</svg>
</span>
        
											Jak připravit jíšku?

		</a>
</p>","17","



					Přivedeme k varu a na snížené teplotě dusíme do změknutí masa. Poté vyndáme koření a omáčku můžeme rozmixovat nebo propasírovat. Přilijeme vývar, dle potřeby zahustíme světlou jíškou, povaříme a dochutíme.
				








        
											Jak připravit jíšku?

		

","4"
"","17","



					Podáváme s rýží, těstovinami nebo knedlíkem a kdo chce, může si na talíři omáčku zakápnout smetanou.
				

","5"
"","17","



					V miske zmiešame na tenké kúsky nakrájaný zeler, na malé kocôčky narezané jablká a hrozienka.
				

","1"
"","17","



					Jogurt zmiešame s horčicou, olejom a korením a vmiešame do šalátu.
				

","2"
"<p class=""b-steps__link-wrap"">
<a class=""b-steps__link"" href=""/tipy-triky/zimni-salaty/"" style=""text-decoration: none;"">
<span class=""b-tip__tag tag"">TIP</span> <span style=""text-decoration: underline;"">					Oblíbené recepty na zimní saláty
</span>
</a>
</p>","17","



					Jednotlivé porcie šalátu posypeme sekanými orechami.
				



TIP 					Oblíbené recepty na zimní saláty



","3"
"","17","



					Slaninu narežeme na malé kocôčky a vyškvaríme.
				

","1"
"","17","



					Pridáme nadrobno nakrájanú cibuľu a orestujeme.
				

","2"
