"recipe_source_id","recipe_name","recipe_link","recipe_image","recipe_batch-id","id","recipe_stars","recipe_rating_cnt","recipe_author","recipe_created","recipe_comment_cnt","recipe_time","serve_cnt","serve_unit","sections","favourites_cnt","ingredient_nutrition_url"
"73782","Hermelínová pomazánka po našem","https://www.toprecepty.cz/recept/73782-hermelinova-pomazanka-po-nasem/","https://static.toprecepty.cz/fotky/recepty/0607/xta-hermelinova-pomazanka-240660-270-160-exact.jpg","12","13","0,0","(0×)","jirka__officialni","3. 3. 2023 16:36","1 názor","






        
												10 min
							
							
 (10 min 
 příprava, bez doby mražení hermelínu) 
				
","1","dávka","['Suroviny']","





Přidat do oblíbených (16x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73782"
"73781","Kuřecí prsa v krémové omáčce se žampiony a sušenými rajčaty","https://www.toprecepty.cz/recept/73781-kureci-prsa-v-kremove-omacce-se-zampiony-a-susenymi-rajcaty/","https://static.toprecepty.cz/fotky/recepty/0607/kureci-prsa-v-kremove-omacce-se-zampiony-a-susenymi-rajcaty-240597-270-160-exact.jpg","12","13","0,0","(0×)","Moanka","3. 3. 2023 11:31","1 názor","






        
												45 min
							
							
 (15 min 
 příprava + 30 min 
 tepelná úprava) 
				
","3","porce","['Suroviny']","





Přidat do oblíbených (5x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73781"
"73780","Žampionovo zeleninová směs s rýží","https://www.toprecepty.cz/recept/73780-zampionovo-zeleninova-smes-s-ryzi/","https://static.toprecepty.cz/fotky/recepty/0607/zampionovo-zeleninova-smes-s-ryzi-240592-270-160-exact.jpg","12","13","5,0","(1×)","Marie Svarcova","3. 3. 2023 11:27","2 názory","






        
												20 min
							
							
 (5 min 
 příprava + 15 min 
 tepelná úprava) 
				
","3","porce","['Suroviny']","





Přidat do oblíbených (12x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73780"
"73779","Lehký broskvový dort s tvarohem a ricottou","https://www.toprecepty.cz/recept/73779-lehky-broskvovy-dort-s-tvarohem-a-ricottou/","https://static.toprecepty.cz/fotky/recepty/0607/lehky-broskvovy-dort-s-tvarohem-a-ricottou-240591-270-160-exact.jpg","12","13","0,0","(0×)","oskarina","3. 3. 2023 10:35","0 názorů","






        
												70 min
							
							
 (40 min 
 příprava + 30 min 
 tepelná úprava) 
				
","1","kus","['Suroviny', 'Korpus', 'Náplň']","





Přidat do oblíbených (5x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73779"
"73778","Tortilla s vejci a sýrem","https://www.toprecepty.cz/recept/73778-tortilla-s-vejci-a-syrem/","https://static.toprecepty.cz/fotky/recepty/0607/tortilla-s-vejci-a-syrem-240571-270-160-exact.jpg","12","13","0,0","(0×)","Marie Svarcova","2. 3. 2023 14:44","2 názory","






        
												6 min
							
							
 (2 min 
 příprava + 4 min 
 tepelná úprava) 
				
","1","kus","['Suroviny']","





Přidat do oblíbených (4x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73778"
"73777","Těstoviny s lososem ve smetanové omáčce","https://www.toprecepty.cz/recept/73777-testoviny-s-lososem-ve-smetanove-omacce/","https://static.toprecepty.cz/fotky/recepty/0607/testoviny-s-lososem-ve-smetanove-omacce-240564-270-160-exact.jpg","12","13","0,0","(0×)","Lenka Škulinová","2. 3. 2023 10:37","3 názory","






        
												17 min
							
							
 (10 min 
 příprava + 7 min 
 tepelná úprava) 
				
","3","porce","['Suroviny']","





Přidat do oblíbených (10x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73777"
"73776","Čokiny","https://www.toprecepty.cz/recept/73776-cokiny/","https://static.toprecepty.cz/fotky/recepty/0607/cokiny-240563-270-160-exact.jpg","12","13","5,0","(1×)","Kukulka12","1. 3. 2023 19:01","3 názory","






        
												50 min
							
							
 (30 min 
 příprava + 20 min 
 tepelná úprava) 
				
","12","porcí","['Suroviny']","





Přidat do oblíbených (12x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73776"
"73775","Krůtí maso s pórkem a žampiony","https://www.toprecepty.cz/recept/73775-kruti-maso-s-porkem-a-zampiony/","https://static.toprecepty.cz/fotky/recepty/0606/kruti-maso-s-porkem-a-zampiony-240552-270-160-exact.jpg","12","13","4,3","(3×)","Marie Svarcova","1. 3. 2023 10:39","4 názory","






        
												20 min
							
							
 (5 min 
 příprava + 15 min 
 tepelná úprava) 
				
","2","porce","['Suroviny']","





Přidat do oblíbených (8x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73775"
"73774","Tvarohový pohár s mandarinkou","https://www.toprecepty.cz/recept/73774-tvarohovy-pohar-s-mandarinkou/","https://static.toprecepty.cz/fotky/recepty/0606/tvarohovy-pohar-s-mandarinkou-240547-270-160-exact.jpg","12","13","5,0","(1×)","Anna Kocikova","28. 2. 2023 17:31","4 názory","






        
												10 min
							
							
 (10 min 
 příprava) 
				
","3","porce","['Suroviny']","





Přidat do oblíbených (7x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73774"
"73773","Kuře po Albrechticku","https://www.toprecepty.cz/recept/73773-kure-po-albrechticku/","https://static.toprecepty.cz/fotky/recepty/0606/kure-po-albrechticku-240544-270-160-exact.jpg","12","13","3,7","(3×)","RubyRom","28. 2. 2023 17:06","5 názorů","






        
												90 min
							
							
 (30 min 
 příprava + 60 min 
 tepelná úprava) 
				
","4","porce","['Suroviny']","





Přidat do oblíbených (15x)
					","https://www.toprecepty.cz/nutricni-hodnoty/73773"
