"author","recipe_id","date","text"
"Marie Svarcova","13","3. 3. 2023 19:38"," recept se mi líbí "
"Marie Svarcova","13","3. 3. 2023 19:39"," také máme rádi "
"Marie Svarcova","13","3. 3. 2023 15:01","Eja57:  Moc děkuji, já mám ráda maso ale stačí mi 2 - 3 x za týden a někdy vůbec nemusí být tak vařím i taková jídla a vždy mají úspěch. přeji krásný den"
"Eja57","13","3. 3. 2023 13:41","Hezké, chutnalo by mi"
"Marie Svarcova","13","3. 3. 2023 15:06","magdalenka:  děkuji, je to rychlé, jednoduché a dobré  hezký den"
"magdalenka","13","3. 3. 2023 13:36","Krásny recept!"
"Moanka","13","3. 3. 2023 15:46","To se mi moc líbí. 👌 Určitě vyzkouším… 😋"
"Lenka Škulinová","13","3. 3. 2023 09:34","Marie Svarcova: Děkuji, je to velmi dobré, ale pozor..hrozně syté "
"Marie Svarcova","13","2. 3. 2023 12:41"," pěkný recept i foto"
"zlatovlaska","13","2. 4. 2023 18:35","Udělali jsme na plech a zmizel rychlosti blesku. Je to moc dobré těsto "
"Kukulka12","13","2. 3. 2023 17:03","Dajda: Děkuji moc!"
"Dajda","13","2. 3. 2023 12:16","Vypadají moc hezky! "
"Marie Svarcova","13","5. 3. 2023 20:39","beruna1:  děkuji,  krásný večer"
"beruna1","13","5. 3. 2023 20:24",""
"Marie Svarcova","13","1. 3. 2023 15:36","RubyRom: děkuji a přeji krásný den "
"RubyRom","13","1. 3. 2023 15:32","Výborné "
"Anna Kocikova","13","5. 3. 2023 19:10","Jaromira18: Marie Svarcova: RubyRom: Děvčata,moc vám děkuji"
"Jaromira18","13","1. 3. 2023 11:55","Nádherně nafocené, že to láká si to udělat, je to dobrůtka."
"Marie Svarcova","13","1. 3. 2023 10:11"," Krásně jsi to načančala - moc pěkné"
"RubyRom","13","28. 2. 2023 21:14","Jednoduché, rychlé a moc dobré "
"Marie Svarcova","13","1. 3. 2023 10:13"," moc pěkné kuřátko podle jednoduchého receptu - Skvělé "
"RubyRom","13","28. 2. 2023 18:47","Jana Pá: děkuji"
"Jana Pá","13","28. 2. 2023 18:45","pokud se mě to podaří, jak viz recept tak budu hvězda jako autorka receptu, musím pochválit "
"RubyRom","13","28. 2. 2023 18:34","mika59: moc děkuji "
"mika59","13","28. 2. 2023 17:53","Tohle kuře máme rádi. Dělám už x let, dokonce tu mám i recept s bramborami. Máš to moc pěkné"
"Marie Svarcova","13","28. 2. 2023 10:38","Eja57: Moc děkuji, opravila jsem Krásný den"
"Eja57","13","28. 2. 2023 10:34","4. a 5. v postupu jsou stejné, umaž jeden, Maruško.
Ale krásný recept"
"Marie Svarcova","13","28. 2. 2023 10:32","RubyRom:  moc děkuji, je to pro mne čest porovnání s tatínkem Přeji krásný den"
"RubyRom","13","28. 2. 2023 10:24","Tuto polévku mám moc ráda. Skvěle ji vařil můj tatínek, který byl vášnivým rybářem . Dala bych si. "
"Marie Svarcova","13","28. 2. 2023 08:23"," recept i foto se mi líbí "
"Dobrutky_od_Macka","13","1. 3. 2023 18:47","Možná je to troubou ale já korpus peču na 180°C horkovzduch , když peču bez horkovzduchu peču déle ."
"Merylas (moderátorka)","13","28. 2. 2023 20:27","Chtěla bych se zeptat, není ta teplota pečení moc vysoká? Při horkovzduchu 180 °C to odpovídá 200 °C. Já na korpusy používám běžný spodní a horní ohřev a teplotu nižší. Horkovzduch jsem vyzkoušela jen jednou, ale ne s dobrým výsledkem, tak už ho nepoužívám."
"Koubkova","13","18. 3. 2023 12:25","Moc dobrá  pomazánka "
"RubyRom","13","27. 2. 2023 19:26","Miluju pomazánky a tahle vypadá velice lákavě. Super Miládko"
"Koubkova","13","27. 2. 2023 17:14","Také se chystám"
"Marie Svarcova","13","27. 2. 2023 16:15"," Moc se mi recept i foto líbí, určitě brzy udělám "
"Dobrutky_od_Macka","13","1. 3. 2023 18:49","Janina123: Ano polévka je zahuštěná ale nemusí být .... Já ji zahušťuji tak jak dělala prababička"
"Janina123","13","28. 2. 2023 19:22","mika59: No jsem to ale popleta "
"mika59","13","28. 2. 2023 19:12","V prvním odstavci je zahuštění.."
"Janina123","13","28. 2. 2023 19:09","Polévka na fotce vypadá skvěle, ale přijde mi zahuštěná a v receptu žádné zahuštění není   Nebo vidím špatně?"
"Marie Svarcova","13","27. 2. 2023 16:13",""
"RubyRom","13","27. 2. 2023 17:51","Marie Svarcova: Moc děkuji, snažím se vždy z králíka využít vše a pupek je zrovna takový divný kousek. Takto ale chutnal skvěle."
"Marie Svarcova","13","27. 2. 2023 16:12"," moc pěkně to vypadá . to jsi se ""vyřádila""- nádhera a vůbec nepochybuji o výborné chuti "
"Marie Svarcova","13","27. 2. 2023 16:09","Jaromira18:  děkuji za komentář - nemusí ale opravdu JE to moc dobré  Krásný zbytek dne"
"Jaromira18","13","27. 2. 2023 16:02","Musí to být moc dobré."
"Marie Svarcova","13","27. 2. 2023 10:26","Eja57:  moc děkuji za milý komentář a přeji krásný den "
"Eja57","13","27. 2. 2023 10:23","Moc hezké, hned bych si dala. Tu chuť si dovedu představit"
"RubyRom","13","27. 2. 2023 10:26","Marie Svarcova: Moc děkuji "
"Marie Svarcova","13","26. 2. 2023 20:34"," moc pěkný recept i foto "
"RubyRom","13","7. 3. 2023 12:09","Moanka: Moc děkuji "
"Moanka","13","6. 3. 2023 23:34","Mňam. To bych si dala.  Musím jít spát, nebo se neudržím…  Určitě vyzkouším. "
"RubyRom","13","26. 2. 2023 18:13","Marie Svarcova: Moc děkuji "
"Marie Svarcova","13","26. 2. 2023 17:46"," pěkný recept i foto  Dobře jsi uvařila "
"Mutsynka","13","8. 9. 2018 10:52","Anna Kocikova: udělala jsem podle vás - s mrkvičkou  A je to nejen výborné  ale i to hezky vypadá 


k.radulka: Výborný receptník  To si můj chlap a synek pošmáknou "
"rebeka","13","29. 4. 2011 15:42","Anna Kocikova:krásné foto Ann a tuhle úpravu rýže v papiňáku vůbec neznámvýborněvyzkouším"
"Anna Kocikova","13","29. 4. 2011 14:52","Dělávám stejně,jen 5 minut v závěru na převaření mouky přidávám na maličké kostičky nakrájenou 1 menší mrkev,aby se i oko najedloDnes jsem dělala z hov.předního,tak papiňák syčel o 20 minut dýl,příloha byla pažitková rýže-2dl hrnek přebrané a oprané rýže zaliju 3,5dl vody,osolím a v papiňáku vařím 4 minuty.Po ochlazení zamíchám 2 PL nakrájené pažitky
Chutná to výborně a bodík s fotkou přidávám+"
"varilamyskakasicku","13","29. 3. 2011 19:26",""
"Pajaja","13","29. 3. 2011 15:54"," +6"
"JanaDorazinova","13","29. 3. 2011 12:09",""
"k.radulka","13","29. 3. 2011 11:45","ne oni jen musí foukat, že to pálí "
"Fantom","13","29. 3. 2011 11:41","maris:šibalové"
"maris","13","29. 3. 2011 11:34","Fantom: dívají se na to dost nedůvěřivě"
"Fantom","13","29. 3. 2011 11:32","Mamčo co jsi to dnes uvařila,"
