"author","recipe_id","date","text"
"RubyRom","17","10. 2. 2023 19:26","Marie Svarcova: Děkuji"
"Marie Svarcova","17","10. 2. 2023 19:04"," paráda, to mám moc ráda "
"Marie Svarcova","17","10. 2. 2023 19:01","RubyRom:  děkuji a přeji krásný, pohodový večer"
"RubyRom","17","10. 2. 2023 18:55","Moc pěkné "
"babice","17","11. 2. 2023 02:14",""
"Marie Svarcova","17","9. 2. 2023 22:17",""
"RubyRom","17","10. 2. 2023 00:13","Anna Kocikova: Moc děkuji, máš pravdu s bramborovou kaší by to byla bašta.  děkuji"
"Marie Svarcova","17","9. 2. 2023 22:18","skvělé "
"Anna Kocikova","17","9. 2. 2023 20:49","Romi,takto připravené cibulové kroužky se mi moc líbíMě by chutnaly i jako hlavní chod s bramborovou kaší"
"Mama-mia","17","9. 2. 2023 23:33","janatka: Děkuji, u nás také tak"
"janatka","17","9. 2. 2023 22:50","Teda vypadá to úžasně. Tak u nás by se to sež..... bleskovou rychlostí "
"Mama-mia","17","9. 2. 2023 14:05","Marie Svarcova: Tak to mě mrzí, u nás tohle mizí rychlostí blesku"
"Marie Svarcova","17","9. 2. 2023 08:22"," vypadá to velmi dobře a určitě i tak chutná ale mám smůlu, že to nikdo jiný než já v rodině nemá rád "
"Marie Svarcova","17","9. 2. 2023 08:23"," určitě moc dobré "
"RubyRom","17","9. 2. 2023 08:46","Marie Svarcova: Děkuji Maruško."
"Marie Svarcova","17","9. 2. 2023 08:27"," velmi pěkný a určitě i velmi chutný chlebíček "
"tara23","17","8. 2. 2023 16:53","Hummus jsme si dávali v Emirátech, moc nám chutnal. Pak jsme si ho 3x koupili  u nás a 3x jsme ho vyhodili. 
Chtěla jsem ho i udělat, ale vždycky mi odradila cena tahini pasty. Ale tenhle zkusím, dávám bodíka  "
"RubyRom","17","8. 2. 2023 13:15","Marie Svarcova: moc děkuji, to mám ráda od dětství."
"Marie Svarcova","17","8. 2. 2023 08:46"," to je nádhera a dobrota na talířku , moc se ti povedly "
"Marie Svarcova","17","8. 2. 2023 08:48"," moc dobrá pomazánka "
"Marie Svarcova","17","8. 2. 2023 08:53",""
"Marie Svarcova","17","10. 3. 2023 22:30","Moanka:  tak to je správné, když jdu k některé kamarádce na pokec, vždy jí donesu co má ráda . Někdy sladké (ráda to dělám ale nemusím to jíst - raději slané) a těm co sladké nemusí dělám takové dobrůtky. Vždy mě těší , kfyž to chutná. "
"Moanka","17","10. 3. 2023 22:20","Marie Svarcova: Děkuji. Vyzkouším, vyfotím a pak už jen budu sledovat, jak si přátelé “mlaskají”…   Taky se měj… "
"Marie Svarcova","17","10. 3. 2023 22:05","Moanka:  To mě moc těší a díky - ať se Ti vše povede je to radost, když všem chutná. Toto lze použít i na mísy nebo samostatné pohoštění.  Měj se prima"
"Moanka","17","10. 3. 2023 21:54","Super i jako předkrm, že ano?  
Některé tvé recepty si ukládám a postupně vyzkouším.  Děkuji za inspiraci… "
"Marie Svarcova","17","21. 2. 2023 21:30","zdenka.s:  Zdeničko děkuji za komentář . Klidně je udělej den předem ale zakryté v krabičce nebo aspoň fólií ulož v chladu aby neoscly,krásný večer"
"zdenka.s","17","21. 2. 2023 20:59","Marie Svarcova: syn bude mít 50,tak chystám trochu větší oslavu a využiju Tvoje úžasné recepty 👍Maruško, rolky můžu udělat večer před nebo je lepší ten den ,kdy se budou jíst ?Budu toho mít hodně  "
"Marie Svarcova","17","9. 2. 2023 22:16","Anna Kocikova: děkuji za komentář a přeji krásný večer "
"Anna Kocikova","17","9. 2. 2023 21:19","Marie Svarcova: Moc hezké rolky
Do náplně někdy dávám krenex,ten mám vždy v zásobě"
"Marie Svarcova","17","8. 2. 2023 08:43","RubyRom:  moc děkuji a přeji krásný den "
